id,key,project_key,project_name,summary,description,status,priority,issue_type,created,updated,assignee,reporter,labels,components,url
10243,SCRUM-6,SCRUM,sample,JIRA Ticket,"{'type': 'doc', 'version': 1, 'content': [{'type': 'orderedList', 'attrs': {'order': 1}, 'content': [{'type': 'listItem', 'content': [{'type': 'paragraph'}, {'type': 'orderedList', 'attrs': {'order': 1}, 'content': [{'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'JIRA Ticket'}]}]}]}]}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': '*'}, {'type': 'text', 'text': '1. Title:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '* Implement Razorpay Payment Gateway Integration during Checkout'}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': '*'}, {'type': 'text', 'text': '2. Description:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '*'}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': 'This ticket covers the implementation of the Razorpay payment gateway as an available payment option during the checkout process.  Users should be able to select Razorpay, enter their payment details (credit card, UPI, etc.), and complete the transaction securely. This integration should include necessary error handling and success confirmations, updating the order status accordingly.  The integration must adhere to Razorpay\'s best practices and security standards, including PCI DSS compliance. We should also consider implementing Razorpay\'s webhooks to handle payment confirmations and reconciliation asynchronously.  This functionality will provide users with a widely recognized and trusted payment method, improving conversion rates and overall user experience. This complements the existing ""Ticket Booking and Payment"" functionality by adding a specific payment gateway option.'}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': '*'}, {'type': 'text', 'text': '3. Acceptance Criteria:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '*'}]}, {'type': 'bulletList', 'content': [{'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  Users can select Razorpay as a payment option during checkout.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  Users are redirected to the Razorpay payment interface upon selecting Razorpay.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  The Razorpay payment interface is seamlessly integrated into the existing checkout flow (look and feel).'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  Users can successfully complete payments using various payment methods supported by Razorpay (credit card, debit card, UPI, net banking, wallets).'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  Successful payments are reflected in the system with the order status updated to ""Paid"" or equivalent.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  Failed payments display informative error messages to the user.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': ""  Payment details are securely handled and transmitted, adhering to PCI DSS compliance and Razorpay's security guidelines.""}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  Refund and dispute resolution flow is correctly implemented to handle scenarios where payments need to be refunded or disputed.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  Comprehensive logging is implemented to track payment transactions for debugging and reconciliation purposes.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  Webhooks from Razorpay are correctly implemented to handle asynchronous payment confirmations and reconciliation, and update order status in real-time.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  The integration is thoroughly tested with various payment methods and scenarios (successful payments, failed payments, refunds, disputes).'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': ""  The integration adheres to the company's coding standards and best practices.""}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  Comprehensive documentation is created for the integration, including API endpoints, configuration settings, and troubleshooting steps.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  Monitor Razorpay logs for any anomalies such as declined transactions or potential fraudulent activity.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  Develop dashboard widgets to analyze payment performance, transaction success rates, and popular payment methods used through Razorpay.'}]}]}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': '*'}, {'type': 'text', 'text': '4. Priority:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '* High'}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': '*'}, {'type': 'text', 'text': 'Reasoning:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': ""* Implementing Razorpay as a payment option directly impacts the business's ability to process payments and generate revenue. A reliable and user-friendly payment gateway is crucial for a positive user experience and high conversion rates. Moreover, Razorpay is a popular payment gateway in the target market, and its inclusion will cater to a broader user base. Delaying this feature could result in lost revenue and a negative impact on user satisfaction.""}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': '*'}, {'type': 'text', 'text': '5. Type:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '* Story'}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': '*'}, {'type': 'text', 'text': '6. Related Work:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '*'}]}, {'type': 'bulletList', 'content': [{'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  *'}, {'type': 'text', 'text': '[JIRA] Ticket Booking and Payment (JIR-7):', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '*  This ticket covers the overall payment process. This ticket specifically focuses on integrating the Razorpay gateway as a payment option within that existing framework. We need to ensure this new integration seamlessly integrates with the existing ticket booking and payment flow.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  *'}, {'type': 'text', 'text': '[JIRA] Payment Gateway Integration (MAJOR-28):', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '* This Epic likely covers the overall strategy and framework for integrating payment gateways. This ticket (the Razorpay integration) is a specific instantiation and component of that broader Epic.'}]}]}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': '*'}, {'type': 'text', 'text': '7. Technical Considerations:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '*'}]}, {'type': 'bulletList', 'content': [{'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  *'}, {'type': 'text', 'text': 'API Integration:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': ""* Requires integration with Razorpay's API for payment initiation, confirmation, and reconciliation.""}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  *'}, {'type': 'text', 'text': 'Security:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': ""*  Adherence to PCI DSS compliance and Razorpay's security best practices is paramount.""}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  *'}, {'type': 'text', 'text': 'Webhook Implementation:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '* Implementation of Razorpay webhooks for handling asynchronous payment confirmations.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  *'}, {'type': 'text', 'text': 'Error Handling:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '* Robust error handling to manage payment failures and display informative messages to the user.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  *'}, {'type': 'text', 'text': 'Database Integration:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '* Integration with the database to update order status based on payment events.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  *'}, {'type': 'text', 'text': 'Configuration:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '*  Configurable settings for API keys and other Razorpay-specific parameters.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  *'}, {'type': 'text', 'text': 'Testing:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '* Thorough testing across different browsers, devices, and payment methods.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  *'}, {'type': 'text', 'text': 'Logging:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '* Comprehensive logging for debugging and auditing purposes.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  *'}, {'type': 'text', 'text': 'Scalability:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '* The integration must be scalable to handle a large volume of transactions.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  *'}, {'type': 'text', 'text': 'Monitoring:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '* Establish monitoring for payment gateway performance, transaction success rates, and error rates using logging systems and other monitoring tools.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  *'}, {'type': 'text', 'text': 'Fraud Detection:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '* Implement Fraud detection mechanisms to prevent unauthorized access or malicious activities during the payment process.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  *'}, {'type': 'text', 'text': 'Authentication:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '* Set up secure authentication mechanisms for webhooks to prevent unauthorized access and ensure secure data transfer.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  *'}, {'type': 'text', 'text': 'Reconciliation:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '* Implement auto reconciliation systems to prevent payment disputes.'}]}]}]}]}",To Do,Medium,Task,2025-06-16T19:16:34.284+0530,2025-06-16T19:16:34.405+0530,,Project Major,[],[],https://projectmajorvd25.atlassian.net/browse/SCRUM-6
10242,SCRUM-5,SCRUM,sample,AI Generated Ticket,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '```'}]}, {'type': 'orderedList', 'attrs': {'order': 1}, 'content': [{'type': 'listItem', 'content': [{'type': 'paragraph'}, {'type': 'orderedList', 'attrs': {'order': 1}, 'content': [{'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'JIRA Ticket'}]}]}]}]}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': '*'}, {'type': 'text', 'text': '1. Title:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '* Update Dark Theme Colors for Homepage Data Visualizations'}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': '*'}, {'type': 'text', 'text': '2. Description:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '*'}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': 'The current implementation of the dark theme on the homepage does not adequately address the data visualizations. This ticket aims to adjust the colors used in the charts and graphs to ensure optimal readability and visual appeal within the dark theme.  We need to ensure that the data is easily discernible, the chart elements are clearly defined, and the overall aesthetic is consistent with the intended dark theme design. This task builds upon the existing ""add data visualizations in home page"" ('}, {'type': 'inlineCard', 'attrs': {'url': 'https://projectmajorvd25.atlassian.net/browse/SCRUM-4#icft=SCRUM-4'}}, {'type': 'text', 'text': ') and ""introduce dark theme to the website"" ('}, {'type': 'inlineCard', 'attrs': {'url': 'https://projectmajorvd25.atlassian.net/browse/SCRUM-3#icft=SCRUM-3'}}, {'type': 'text', 'text': ') tickets. It addresses the specific styling requirements of the visualizations when the dark theme is active.'}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': '*'}, {'type': 'text', 'text': '3. Acceptance Criteria:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '*'}]}, {'type': 'bulletList', 'content': [{'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  *'}, {'type': 'text', 'text': 'Data Readability:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '* All data points (lines, bars, areas, text labels) within the visualizations are clearly visible and distinguishable against the dark background.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  *'}, {'type': 'text', 'text': 'Color Contrast:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '* Sufficient color contrast is maintained between chart elements (axes, gridlines, series) and the background to ensure readability.  Accessibility standards (WCAG) regarding color contrast should be considered.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  *'}, {'type': 'text', 'text': 'Aesthetic Consistency:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '* The color palette used for the visualizations aligns with the overall aesthetic of the dark theme and avoids jarring or clashing colors.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  *'}, {'type': 'text', 'text': 'Theme Switching:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '* The color changes are dynamically applied when switching between the light and dark themes. Verification needed when switching back to light theme.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  *'}, {'type': 'text', 'text': 'Responsiveness:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '* The color updates apply correctly across different screen sizes and devices (desktop, tablet, mobile).'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  *'}, {'type': 'text', 'text': 'Performance:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '* Changes do not negatively impact the performance of the homepage or the loading time of the visualizations.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  *'}, {'type': 'text', 'text': 'Code Quality:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '* Code changes are well-documented, maintainable, and follow coding best practices.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  *'}, {'type': 'text', 'text': 'Visual Sign-off:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '* The final color scheme is reviewed and approved by the design team.'}]}]}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': '*'}, {'type': 'text', 'text': '4. Priority:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '* Medium'}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Reasoning:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': ' While not a critical functionality issue, the current appearance of the visualizations in dark mode can negatively impact the user experience. Addressing this ensures a polished and professional look for the application and improves data accessibility. Also the dark theme is in progress, so it is necessary to complete this task while the person working on dark theme is still focused on it.'}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': '*'}, {'type': 'text', 'text': '5. Type:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '* Task'}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': '*'}, {'type': 'text', 'text': '6. Related Work:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '*'}]}, {'type': 'bulletList', 'content': [{'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  '}, {'type': 'inlineCard', 'attrs': {'url': 'https://projectmajorvd25.atlassian.net/browse/SCRUM-4#icft=SCRUM-4'}}, {'type': 'text', 'text': ' add data visualizations in home page: This ticket established the initial implementation of the data visualizations. This ticket focuses on their styling within the dark theme.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  '}, {'type': 'inlineCard', 'attrs': {'url': 'https://projectmajorvd25.atlassian.net/browse/SCRUM-3#icft=SCRUM-3'}}, {'type': 'text', 'text': ' introduce dark theme to the website: This ticket established the overall dark theme implementation. This ticket enhances that theme by ensuring the data visualizations are properly styled within it.'}]}]}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': '*'}, {'type': 'text', 'text': '7. Technical Considerations:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '*'}]}, {'type': 'bulletList', 'content': [{'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  *'}, {'type': 'text', 'text': 'CSS Variables:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '* Utilize CSS variables to manage and update the colors dynamically based on the theme. This will simplify maintenance and ensure consistency across the application. Consider using a CSS preprocessor (e.g., Sass) if not already implemented.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  *'}, {'type': 'text', 'text': 'JavaScript Logic:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '*  If needed, JavaScript logic should be implemented to dynamically update the visualization colors based on the current theme state. Libraries like `d3.js`, `Chart.js`, or similar used for the visualization, need to have their color configuration adapted.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  *'}, {'type': 'text', 'text': 'Color Palette:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '* Consult with the design team to determine the appropriate color palette for the visualizations within the dark theme. Consider using a color contrast checker to ensure accessibility.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  *'}, {'type': 'text', 'text': 'Visualization Library:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': ""* Understand how the data visualization library (e.g., Chart.js, D3.js) handles theming and color configuration. Utilize the library's features to efficiently update the colors based on the selected theme. Consider if the library allows injecting custom colors or if the current implementation needs to be rewritten in order to support it.""}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  *'}, {'type': 'text', 'text': 'Browser Compatibility:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '* Test the changes across different browsers (Chrome, Firefox, Safari, Edge) to ensure consistent rendering.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': '  *'}, {'type': 'text', 'text': 'Accessibility:', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '* Check color contrast of visualization elements and make sure text is legible.'}, {'type': 'hardBreak'}, {'type': 'text', 'text': '```'}]}]}]}]}",To Do,Medium,Task,2025-06-16T19:11:09.321+0530,2025-06-16T19:12:59.021+0530,,Project Major,[],[],https://projectmajorvd25.atlassian.net/browse/SCRUM-5
10240,JIR-21,JIR,JIRANEW,Test Internal Network Connectivity,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': ""As a QA Engineer, I want to verify the application's ability to communicate with internal network services.""}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Acceptance Criteria:', 'marks': [{'type': 'strong'}]}]}, {'type': 'bulletList', 'content': [{'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Successful communication with the designated internal services.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Appropriate error handling for internal network failures.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Consistent performance within the internal network.'}]}]}]}]}",To Do,Medium,Story,2025-06-16T16:34:54.927+0530,2025-06-16T16:34:54.979+0530,,Project Major,[],[],https://projectmajorvd25.atlassian.net/browse/JIR-21
